id,Product ID,Tool wear [min],Machine failure,Air temperature [K]
0.0,L50096,140.0,0.0,300.6
2.0,L49454,25.0,0.0,299.3
3.0,L53355,197.0,1.0,301.0
6.0,L56736,156.0,1.0,299.6
7.0,L55488,67.0,0.0,298.7
8.0,L56397,13.0,0.0,297.7
9.0,L55067,98.0,0.0,300.5
10.0,L53273,139.0,0.0,301.0
11.0,L52981,166.0,1.0,301.5
13.0,L56091,204.0,1.0,297.1
14.0,L57008,143.0,0.0,298.5
16.0,L50318,72.0,0.0,300.4
17.0,L50201,5.0,0.0,300.5
18.0,L54856,0.0,0.0,300.5
19.0,L52109,76.0,0.0,303.5
20.0,L50643,40.0,0.0,301.5
21.0,L49187,27.0,0.0,298.6
22.0,L53257,23.0,0.0,300.9
23.0,L53313,190.0,1.0,301.0
24.0,L56269,173.0,1.0,297.2
25.0,L55142,162.0,1.0,301.0
27.0,L56208,0.0,0.0,297.4
28.0,L53040,124.0,0.0,301.3
29.0,L50227,51.0,0.0,300.2
32.0,L52106,71.0,0.0,303.5
34.0,L56576,158.0,1.0,297.8
36.0,L55218,19.0,0.0,300.7
37.0,L55076,119.0,0.0,300.8
38.0,L49056,94.0,0.0,298.3
39.0,L53718,83.0,0.0,301.4
40.0,L55605,172.0,1.0,299.2
41.0,L56398,103.0,0.0,297.7
43.0,L52753,14.0,0.0,302.5
44.0,L50736,155.0,1.0,301.8
51.0,L52799,183.0,1.0,302.6
52.0,L49504,201.0,1.0,299.3
53.0,L54552,23.0,0.0,299.6
55.0,L54996,144.0,0.0,299.8
56.0,L55110,206.0,1.0,300.6
58.0,L56642,131.0,0.0,298.5
60.0,L47768,53.0,0.0,297.6
61.0,L51239,99.0,0.0,301.9
63.0,L54293,25.0,0.0,300.9
64.0,L54263,211.0,1.0,300.7
65.0,L55827,93.0,0.0,297.4
66.0,L56403,37.0,0.0,297.9
67.0,L50494,173.0,1.0,301.4
68.0,L53033,64.0,0.0,301.3
69.0,L56909,145.0,0.0,298.8
70.0,L55502,106.0,0.0,298.7
71.0,L55326,80.0,0.0,299.6
72.0,L53551,77.0,0.0,300.0
73.0,L56239,13.0,0.0,297.2
