id,Product ID,Tool wear [min],Machine failure,Air temperature [K]
0,L50096,140,0,300.6
1,M20343,200,0,302.6
2,L49454,25,0,299.3
3,L53355,197,0,301
4,M24050,34,0,298
5,M24300,65,0,298.4
6,L56736,156,0,299.6
7,L55488,67,0,298.7
8,L56397,13,0,297.7
9,L55067,98,0,300.5
10,L53273,139,0,301
11,L52981,166,0,301.5
12,M21422,152,0,301.4
13,L56091,204,0,297.1
14,L57008,143,0,298.5
15,M15219,38,0,297.6
16,L50318,72,0,300.4
17,L50201,5,0,300.5
18,L54856,0,0,300.5
19,L52109,76,0,303.5
20,L50643,40,0,301.5
21,L49187,27,0,298.6
22,L53257,23,0,300.9
23,L53313,190,0,301
24,L56269,173,0,297.2
25,L55142,162,0,301
26,H39350,2,0,298.3
27,L56208,0,0,297.4
28,L53040,124,0,301.3
29,L50227,51,0,300.2
30,M17675,111,0,300.1
31,H35898,129,0,300.6
32,L52106,71,0,303.5
33,M24800,89,0,298.3
34,L56576,158,0,297.8
35,H35545,118,0,301
36,L55218,19,0,300.7
37,L55076,119,0,300.8
38,L49056,94,0,298.3
39,L53718,83,0,301.4
40,L55605,172,0,299.2
41,L56398,103,0,297.7
42,M17591,135,0,299.7
43,L52753,14,0,302.5
44,L50736,155,0,301.8
45,M15683,161,0,296.7
46,M20419,9,0,302.4
47,M23105,119,0,299.2
48,M24285,27,0,298.1
49,M18397,20,0,301.9
50,M16902,124,0,299.1
51,L52799,183,0,302.6
52,L49504,201,0,299.3
53,L54552,23,0,299.6
54,M14955,90,0,299
55,L54996,144,0,299.8
56,L55110,206,0,300.6
57,M23304,9,0,298.9
58,L56642,131,0,298.5
59,M20494,168,0,302.6
60,L47768,53,0,297.6
61,L51239,99,0,301.9
62,M23600,70,0,297.3
63,L54293,25,0,300.9
64,L54263,211,0,300.7
65,L55827,93,0,297.4
66,L56403,37,0,297.9
67,L50494,173,0,301.4
68,L53033,64,0,301.3
69,L56909,145,0,298.8
70,L55502,106,0,298.7
71,L55326,80,0,299.6
72,L53551,77,0,300
73,L56239,13,0,297.2
74,L50936,156,0,302.3
75,L55162,127,0,301
