id,Product ID,Tool wear [min],Machine failure,Air temperature [K]
0,L50096,140,0,300.6
2,L49454,25,0,299.3
3,L53355,197,0,301.0
6,L56736,156,0,299.6
7,L55488,67,0,298.7
8,L56397,13,0,297.7
9,L55067,98,0,300.5
10,L53273,139,0,301.0
11,L52981,166,0,301.5
13,L56091,204,0,297.1
14,L57008,143,0,298.5
16,L50318,72,0,300.4
17,L50201,5,0,300.5
18,L54856,0,0,300.5
19,L52109,76,0,303.5
20,L50643,40,0,301.5
21,L49187,27,0,298.6
22,L53257,23,0,300.9
23,L53313,190,0,301.0
24,L56269,173,0,297.2
25,L55142,162,0,301.0
27,L56208,0,0,297.4
28,L53040,124,0,301.3
29,L50227,51,0,300.2
32,L52106,71,0,303.5
34,L56576,158,0,297.8
36,L55218,19,0,300.7
37,L55076,119,0,300.8
38,L49056,94,0,298.3
39,L53718,83,0,301.4
40,L55605,172,0,299.2
41,L56398,103,0,297.7
43,L52753,14,0,302.5
44,L50736,155,0,301.8
51,L52799,183,0,302.6
52,L49504,201,0,299.3
53,L54552,23,0,299.6
55,L54996,144,0,299.8
56,L55110,206,0,300.6
58,L56642,131,0,298.5
60,L47768,53,0,297.6
61,L51239,99,0,301.9
63,L54293,25,0,300.9
64,L54263,211,0,300.7
65,L55827,93,0,297.4
66,L56403,37,0,297.9
67,L50494,173,0,301.4
68,L53033,64,0,301.3
69,L56909,145,0,298.8
70,L55502,106,0,298.7
71,L55326,80,0,299.6
72,L53551,77,0,300.0
73,L56239,13,0,297.2
74,L50936,156,0,302.3
75,L55162,127,0,301.0
76,L54825,129,0,300.4
77,L55814,141,0,297.5
78,L55970,47,0,297.4
79,L52213,119,0,303.9
80,L53919,154,0,301.7
81,L52158,196,0,303.7
82,L53938,204,0,301.2
83,L56258,100,0,297.3
84,L55304,32,0,300.2
85,L49216,96,0,299.0
90,L54620,30,0,300.0
91,L56060,0,0,298.0
92,L50793,0,0,301.7
93,L52083,0,0,303.6
94,L54912,130,0,300.3
97,L55258,192,0,300.3
98,L53258,64,0,300.7
100,L51200,59,0,302.1
101,L49553,147,0,298.9
102,L49237,147,0,299.5
104,L48795,46,0,297.8
105,L56761,10,0,299.4
106,L48952,25,0,298.4
107,L50748,91,0,301.8
108,L54258,197,0,300.7
110,L51125,0,0,302.2
111,L56251,138,0,297.0
112,L48557,176,0,298.8
113,L47788,156,0,298.0
114,L56897,98,0,299.0
115,L49996,104,0,300.3
117,L48891,70,0,298.2
118,L51326,88,0,301.8
119,L56253,150,0,297.2
121,L53272,18,0,300.9
122,L50265,150,0,300.1
123,L51719,154,0,302.6
124,L56250,16,0,297.1
125,L50477,59,0,301.3
127,L55175,176,0,301.0
128,L53392,93,0,300.8
130,L52498,21,1,303.9
131,L47348,20,0,298.3
132,L47803,83,0,298.3
134,L54981,24,0,300.0
135,L54132,56,0,300.8
136,L48810,34,0,298.2
137,L50505,127,0,301.5
138,L52216,127,0,304.0
139,L53966,119,0,301.2
140,L55966,38,0,297.5
141,L51819,147,0,303.1
142,L55224,34,0,300.7
143,L53047,24,0,301.5
144,L56162,128,0,297.0
145,L51621,148,0,302.5
148,L52724,140,0,302.4
149,L49997,129,0,300.2
150,L48275,18,0,296.9
151,L47351,27,0,298.0
152,L54676,76,0,300.2
153,L53476,2,0,301.1
154,L47501,190,0,297.5
155,L56176,164,0,297.8
157,L48693,25,0,298.0
158,L48805,76,0,297.9
160,L54237,149,0,300.8
164,L51721,174,1,302.5
166,L48093,104,0,295.5
167,L52942,68,0,301.8
170,L50748,77,0,301.8
171,L56449,17,0,298.0
173,L48259,100,0,297.0
174,L54777,124,0,300.5
175,L50573,81,0,301.5
176,L53007,0,0,301.3
178,L52339,148,0,304.2
179,L55508,127,0,298.6
180,L54370,50,0,300.3
184,L47853,209,0,297.9
185,L56316,102,0,297.7
186,L53929,5,0,301.3
187,L48490,2,0,298.9
188,L56454,45,0,298.2
190,L56609,64,0,298.1
191,L54445,2,0,300.4
192,L48704,43,0,298.2
194,L53468,75,0,301.0
195,L52866,89,0,302.3
196,L55433,136,0,299.2
197,L52457,158,0,303.4
198,L49598,9,0,299.1
199,L51116,129,0,302.5
201,L51996,0,0,303.4
202,L49952,50,0,299.7
205,L49113,38,0,298.1
206,L51449,152,0,302.6
208,L52717,122,0,302.4
209,L54114,22,0,300.7
211,L54369,127,0,300.4
212,L53112,54,0,300.5
213,L49796,62,0,299.8
215,L57026,116,0,298.4
216,L50411,192,0,300.7
217,L52781,189,0,302.9
218,L55508,127,0,298.6
219,L56814,154,0,299.0
220,L57070,157,0,298.8
221,L54275,18,0,300.6
222,L53856,222,0,301.5
224,L51097,137,0,302.6
226,L53748,159,0,301.6
229,L54040,90,0,301.1
230,L52232,178,0,304.1
234,L47966,55,0,296.9
236,L55926,144,1,297.3
239,L55788,92,0,297.4
241,L48709,56,0,298.1
242,L51094,131,0,302.5
243,L54490,157,0,300.0
244,L53050,148,0,301.4
245,L55273,160,0,300.2
246,L56849,242,0,299.1
247,L51801,174,1,303.0
248,L56821,48,0,299.3
249,L57029,44,0,298.3
250,L53665,162,0,300.7
251,L55876,12,0,297.2
253,L49545,76,0,299.1
254,L53171,79,0,300.7
255,L53141,123,0,300.8
258,L51945,64,0,303.9
259,L48083,59,0,295.6
263,L54892,73,0,300.5
266,L52091,175,0,303.5
268,L53022,37,0,301.4
269,L49931,187,0,299.7
270,L48607,6,0,298.7
271,L50088,120,0,300.7
272,L48816,59,0,297.9
273,L51358,0,0,302.5
274,L53441,54,0,301.1
280,L50854,157,0,302.1
282,L54588,175,0,299.8
284,L48208,51,0,296.2
287,L48925,160,0,298.3
290,L54040,28,0,301.1
291,L48448,46,0,298.0
293,L53271,12,0,300.9
294,L48482,9,0,298.8
295,L51976,110,0,303.5
298,L51073,66,0,302.3
299,L55887,41,0,297.2
300,L49631,93,0,299.1
301,L55232,54,0,300.5
302,L55275,167,0,300.2
305,L50097,142,0,300.6
306,L49943,2,0,299.6
308,L56714,97,0,299.3
311,L48501,185,0,298.9
312,L47454,63,0,298.1
313,L49571,145,0,299.2
314,L49484,144,0,299.1
316,L49210,79,0,298.8
317,L55041,25,0,300.5
318,L53635,81,0,300.6
319,L51363,204,0,302.4
320,L54022,24,0,301.3
321,L53337,166,0,301.1
323,L49852,0,0,299.7
325,L51138,34,0,302.2
327,L53656,141,0,300.5
328,L56423,166,0,298.3
329,L52813,166,0,302.5
330,L47941,94,0,296.7
331,L51196,161,0,302.0
332,L54729,97,0,300.3
334,L47786,148,0,297.9
335,L47791,49,0,298.1
336,L55338,96,0,299.6
338,L52626,99,0,303.0
339,L50786,192,0,301.7
340,L56731,139,0,299.5
341,L47414,21,0,298.2
343,L53995,172,0,300.9
344,L47807,74,0,298.4
345,L55447,175,0,299.2
346,L52378,152,0,303.8
347,L52062,159,0,303.6
348,L55220,204,0,300.8
349,L56337,2,0,297.5
350,L49246,0,0,299.4
351,L55382,5,0,299.3
352,L48750,158,0,298.2
354,L56543,54,0,298.2
355,L55258,123,0,300.3
356,L53542,51,0,300.0
357,L53040,179,0,301.3
358,L53933,195,0,301.3
359,L53345,205,0,300.7
361,L48636,91,0,299.0
362,L57099,127,0,298.5
363,L51575,145,0,302.0
364,L52606,62,0,302.6
366,L54455,48,0,300.2
367,L55271,185,0,300.2
368,L52117,96,0,303.4
370,L51123,197,0,302.5
372,L54602,59,0,300.0
373,L49180,9,0,298.3
374,L57110,63,0,298.3
375,L49197,46,0,298.7
376,L50575,84,0,301.4
377,L56255,150,0,297.3
378,L51259,106,0,302.0
379,L49990,113,0,300.4
380,L47310,190,0,298.8
381,L56584,181,0,297.7
382,L53361,17,0,301.0
383,L53731,24,0,301.4
384,L52433,71,0,303.5
385,L50678,228,1,301.9
386,L56189,0,0,297.3
387,L53232,138,0,300.9
389,L54274,17,0,300.6
390,L53072,159,0,301.4
391,L56908,143,0,298.8
392,L54812,94,0,300.5
393,L55551,148,0,298.7
394,L47217,139,0,298.8
395,L54707,42,0,300.1
396,L55970,47,0,297.4
397,L56170,146,0,297.2
398,L51887,159,0,303.5
402,L53499,155,0,300.9
404,L55215,91,0,300.7
405,L56763,126,0,299.2
406,L52840,15,0,302.2
407,L53141,123,0,300.3
409,L52642,39,0,302.9
410,L50266,150,0,300.0
412,L53153,166,0,300.5
413,L53213,0,0,300.6
414,L55728,71,0,298.5
415,L47528,39,0,297.5
416,L53372,45,0,301.0
417,L56256,173,0,297.2
418,L54812,0,0,300.5
419,L52364,92,0,304.0
420,L49477,119,0,299.4
421,L53142,125,0,300.5
422,L56915,98,0,298.9
423,L54800,65,0,300.5
425,L50250,110,0,300.1
426,L48403,137,0,297.0
430,L49741,145,0,299.4
431,L51688,102,0,302.4
432,L51580,36,0,302.3
433,L51251,141,0,302.0
434,L55273,14,0,300.3
436,L53919,208,0,301.8
438,L52818,182,0,302.2
440,L55336,110,0,299.6
441,L49447,61,0,299.2
442,L47485,148,0,297.8
444,L51038,203,0,302.6
446,L54760,113,0,300.1
449,L48402,135,0,297.0
450,L53119,0,0,300.5
451,L48348,215,0,297.1
452,L56041,33,0,297.9
453,L54091,57,0,300.8
454,L56224,63,0,297.4
458,L48604,6,0,298.7
459,L54602,206,0,300.0
460,L54629,23,0,300.3
461,L53028,48,0,301.4
463,L47244,98,0,298.9
464,L56711,93,0,299.4
465,L52925,21,0,302.2
470,L56357,64,0,297.9
471,L50864,141,0,302.2
472,L56337,148,0,297.5
473,L47364,96,0,298.2
474,L51415,44,0,302.2
475,L54807,117,0,300.5
476,L50250,110,0,300.1
477,L56161,124,0,297.0
479,L56469,76,0,298.2
482,L54108,92,0,301.1
483,L48731,111,0,298.4
484,L55142,58,0,301.0
485,L49870,127,0,299.8
488,L54665,154,0,300.3
489,L50565,57,0,301.5
490,L53556,94,0,300.0
491,L56461,66,0,298.2
