id,Product ID,Tool wear [min],Machine failure,Air temperature [K]
80789,L48676,189,1,298.0
54532,L47418,0,0,298.2
55248,L51567,2,0,302.0
41944,L56591,201,1,298.0
39644,L48677,50,0,298.0
125567,L53153,157,1,300.7
71468,L57027,162,1,298.4
81996,L56924,181,1,298.8
14944,L48409,153,1,297.1
55007,L57118,7,0,298.3
34049,L47295,40,0,298.9
18147,L48900,96,0,298.2
37384,L54425,195,1,300.0
132030,L48673,179,1,298.0
85863,L55534,196,1,298.6
45940,L49085,176,1,297.9
75953,L48724,95,0,298.4
88465,L48245,148,0,296.8
69747,L54160,96,0,300.7
110172,L54248,174,1,300.7
82912,L50263,141,0,300.1
120846,L51285,91,0,301.9
71038,L47778,26,0,297.7
9928,L49053,92,0,298.4
9115,L53166,47,0,300.6
27203,L56862,27,0,299.1
41512,L50193,111,0,300.5
131,L47348,20,0,298.3
14813,L52933,49,0,302.2
108026,L53262,0,0,300.9
14654,L49908,156,1,299.9
36445,L55598,79,0,298.9
23135,L48323,139,0,297.0
48078,L49152,134,0,297.9
117655,L51464,185,1,301.8
85394,L47319,155,1,298.8
129793,L48983,105,0,298.1
59975,L49986,104,0,300.0
135682,L48515,40,0,298.8
131613,L54903,193,1,300.5
3324,L48632,33,0,299.0
48021,L54577,144,0,299.7
104165,L54235,195,1,300.8
105714,L56343,27,0,297.7
44268,L54725,88,0,300.2
45169,L52724,140,0,302.4
21100,L51760,67,0,303.0
81998,L52182,40,0,303.7
58665,L53457,47,0,301.3
96540,L49250,184,1,299.7
70975,L56337,148,0,297.5
16074,L56468,83,0,298.1
100673,L47988,120,0,296.9
89364,L50024,196,1,300.3
98562,L50849,146,0,302.2
97,L55258,192,1,300.3
106053,L53542,51,0,300.1
47147,L53255,199,1,301.0
65631,L53292,158,1,300.7
800,L47912,45,0,297.2
97643,L51326,5,0,301.8
38837,L54276,21,0,300.6
48696,L55016,191,1,300.0
40658,L53655,139,0,300.5
22788,L49085,176,1,297.9
90670,L54988,119,0,299.9
54865,L54521,4,0,299.7
37662,L48528,16,0,298.7
74145,L50794,4,0,301.8
30955,L55389,21,0,299.3
43721,L49386,107,0,299.8
102531,L55863,188,1,297.2
109588,L47646,125,0,297.2
53529,L54748,26,0,300.2
53367,L54847,185,1,300.5
17003,L51594,49,0,302.6
52017,L48557,105,0,298.7
69121,L47698,44,0,297.6
42638,L49352,23,0,299.5
60430,L47501,190,1,297.5
48433,L53822,0,0,301.5
26137,L54793,87,0,300.5
87412,L56917,109,0,298.6
6967,L53071,24,0,301.4
34675,L53709,57,0,301.2
118982,L49596,179,1,299.0
79620,L53040,82,0,301.3
133749,L54702,77,0,300.0
31366,L55981,127,0,297.4
105519,L55161,105,0,301.0
8922,L52041,109,0,303.5
108914,L50880,139,0,302.3
58476,L50022,192,1,300.4
16193,L53408,146,0,301.2
27780,L52726,147,0,302.4
85511,L56304,70,0,297.4
112378,L48497,70,0,298.9
21316,L50621,194,1,301.4
100799,L48043,46,0,296.0
38298,L47294,95,0,298.9
132440,L47894,116,0,297.4
85297,L48409,153,1,297.1
2914,L53771,5,0,301.7
121222,L53086,66,0,300.7
80226,L50553,85,0,301.4
105027,L55962,27,0,297.5
58486,L51746,2,0,302.8
39263,L55891,58,0,297.2
34123,L56016,174,1,297.4
79668,L54706,38,0,300.1
80859,L48118,231,1,295.6
135972,L50203,46,0,300.4
4717,L56062,20,0,298.0
77307,L50603,153,1,301.4
80458,L50447,195,1,301.3
374,L57110,63,0,298.3
39868,L52978,160,1,301.5
112452,L53955,40,0,301.6
102869,L54260,203,1,300.7
11936,L51137,27,0,302.6
859,L50373,2,0,300.0
54446,L48685,210,1,298.0
123934,L53797,73,0,301.7
116540,L51277,155,1,301.9
26291,L53255,104,0,301.0
23585,L56712,2,0,299.2
87653,L49311,196,1,299.4
110100,L49747,158,1,299.4
96755,L48150,111,0,295.8
77165,L51913,214,1,303.2
119994,L48182,148,0,296.3
45243,L55280,167,1,300.3
